id,name,address,lat,lon,url_2gis,district
70000001110950049,"Almaty Parking, парковка №2043","Алматы, Объект",43.264954,76.941372,https://2gis.kz/almaty/firm/70000001110950049,Алматы
70000001057444345,Парковка ТРК Mega Park,"Алматы, Объект",43.264952,76.929322,https://2gis.kz/almaty/firm/70000001057444345,Алматы
9430047375177126,"проспект Назарбаева, 50/1","Алматы, проспект Назарбаева, 50/1",43.261361,76.94659,https://2gis.kz/almaty/firm/9430047375177126,Алматы
70000001057443905,"Almaty Parking, парковка №6014","Алматы, Объект",43.249876,76.948222,https://2gis.kz/almaty/firm/70000001057443905,Алматы
70000001089496699,"Almaty Parking, парковка №2047","Алматы, Объект",43.260722,76.944123,https://2gis.kz/almaty/firm/70000001089496699,Алматы
70000001087008975,"Almaty Parking, парковка №2046","Алматы, Объект",43.261495,76.93785,https://2gis.kz/almaty/firm/70000001087008975,Алматы
70000001057444134,"Almaty Parking, парковка №2005","Алматы, Объект",43.257607,76.936701,https://2gis.kz/almaty/firm/70000001057444134,Алматы
70000001094185816,"Almaty Parking, парковка №2006","Алматы, Объект",43.25964,76.942117,https://2gis.kz/almaty/firm/70000001094185816,Алматы
70000001057445447,"Almaty Parking, парковка №2042","Алматы, Объект",43.266087,76.934894,https://2gis.kz/almaty/firm/70000001057445447,Алматы
70000001057444157,"Small, платная парковка","Алматы, Объект",43.264793,76.949277,https://2gis.kz/almaty/firm/70000001057444157,Алматы
70000001088126612,"Almaty Parking, парковка №6058","Алматы, Объект",43.263683,76.947445,https://2gis.kz/almaty/firm/70000001088126612,Алматы
70000001057445108,"Almaty Parking, парковка №6001","Алматы, Объект",43.261615,76.951029,https://2gis.kz/almaty/firm/70000001057445108,Алматы
70000001094185870,"Almaty Parking, парковка №2007","Алматы, Объект",43.252849,76.940851,https://2gis.kz/almaty/firm/70000001094185870,Алматы
70000001057443832,Паркинги,Алматы,43.253238,76.939088,https://2gis.kz/almaty/firm/70000001057443832,Алматы
70000001057445266,"Almaty Parking, парковка №6013","Алматы, Объект",43.252987,76.953901,https://2gis.kz/almaty/firm/70000001057445266,Алматы
70000001110951002,"Almaty Parking, парковка №6012","Алматы, Объект",43.251446,76.955717,https://2gis.kz/almaty/firm/70000001110951002,Алматы
70000001089734586,"Almaty Parking, парковка №6002","Алматы, Объект",43.256886,76.949077,https://2gis.kz/almaty/firm/70000001089734586,Алматы
70000001110965911,"Almaty Parking, парковка №6047","Алматы, Объект",43.264309,76.948502,https://2gis.kz/almaty/firm/70000001110965911,Алматы
70000001087680328,"Almaty Parking, парковка №2008","Алматы, Объект",43.251569,76.933255,https://2gis.kz/almaty/firm/70000001087680328,Алматы
70000001110950051,"Almaty Parking, парковка №6011","Алматы, Объект",43.25662,76.947284,https://2gis.kz/almaty/firm/70000001110950051,Алматы
70000001110958924,Парковка гостиницы Rixos,"Алматы, Объект",43.249941,76.934617,https://2gis.kz/almaty/firm/70000001110958924,Алматы
70000001091227001,Паркинг,"Алматы, Парковка ТРЦ Mega Park",43.26399,76.929648,https://2gis.kz/almaty/firm/70000001091227001,Алматы
9430047375177008,"улица Макатаева, 45/1","Алматы, улица Макатаева, 45/1",43.265458,76.955599,https://2gis.kz/almaty/firm/9430047375177008,Алматы
70000001054952875,Парковка ТЦ ГУМ,"Алматы, Объект",43.266966,76.947811,https://2gis.kz/almaty/firm/70000001054952875,Алматы
70000001110950110,"Almaty Parking, парковка №6547","Алматы, Объект",43.264492,76.954816,https://2gis.kz/almaty/firm/70000001110950110,Алматы
70000001101611796,Парковка ТЦ Silk Way City,"Алматы, Объект",43.254497,76.9371,https://2gis.kz/almaty/firm/70000001101611796,Алматы
70000001101413784,Парковка ТЦ Ялян,"Алматы, Объект",43.28875,76.889817,https://2gis.kz/almaty/firm/70000001101413784,Алматы
70000001054918941,Парковка ТЦ Байсат,"Алматы, Объект",43.285237,76.888616,https://2gis.kz/almaty/firm/70000001054918941,Алматы
70000001057445317,"Almaty Parking, парковка №1804","Алматы, Объект",43.292578,76.890712,https://2gis.kz/almaty/firm/70000001057445317,Алматы
70000001094488338,"Almaty Parking, парковка №5801","Алматы, Объект",43.278822,76.887558,https://2gis.kz/almaty/firm/70000001094488338,Алматы
70000001057445326,"Almaty Parking, парковка №5802","Алматы, Объект",43.286178,76.889001,https://2gis.kz/almaty/firm/70000001057445326,Алматы
